account_id,r,rd
153799080,1750.4314286543147,256.29624785348346
1273289573,1337.7879973942352,290.2305060910912
1156809798,1337.7879973942352,290.2305060910912
1683461826,1337.7879973942352,290.2305060910912
1734157679,1337.7879973942352,290.2305060910912
1552161240,1337.7879973942352,290.2305060910912
477292277,1608.746064718598,284.30414989876306
114459193,1608.746064718598,284.30414989876306
82577371,1383.3994560944702,286.8512220355318
852823577,1608.746064718598,284.30414989876306
121747938,1383.3994560944702,286.8512220355318
123953528,1433.73083754398,192.90652094956948
153609394,1347.646207016067,188.69430580898688
255339080,1430.8466722676724,194.09791623216648
197813893,1330.4850290321472,170.50764093395455
131246802,1313.5830974219118,245.641832056367
212656698,1535.9424139740906,135.07051350720297
116293223,1597.856588233833,162.6561805173689
286985748,1439.3679697677433,232.93123249884823
153727297,1719.1408738251846,170.65392976329375
292829433,1719.1408738251846,170.65392976329375
874735136,1719.1685894068632,170.65114976763815
97822451,1361.349659496306,183.13212591020078
457637739,1566.439892112311,91.3856250043566
445051808,1404.726538257628,151.9340236116233
902207238,1273.3018559150958,264.482851357342
1015943043,1405.9116142511775,122.41016708134232
274078636,1238.766066061561,219.00126728720986
389033587,1747.3346020561353,167.86507050038102
248388120,1216.1343658320461,228.064692544408
331999484,1293.438707224479,137.90806667242035
290354460,1475.6525141262555,224.6666386668789
105920571,1333.7826830809818,154.8964516556673
10366616,2186.9032320166802,111.99046003319954
898455820,2300.0898496560167,104.10058917731016
183719386,2473.786731314545,144.43958462275776
25907144,2297.3622466295747,103.63836027640728
168028715,1320.4217936152338,200.72514677453321
202217968,1840.169066161537,117.31681591073072
147767183,2291.062356849194,140.92512479129908
207829314,2295.26508524125,145.29218282496095
76904792,1740.6974254319887,144.3281850301423
172099728,2208.8827998754155,100.54285333085953
480412663,2208.882800154792,100.54285336951402
165564598,2208.8827998754155,100.54285333085953
317880638,2208.8827998754155,100.54285333085953
196878136,2208.8827998754155,100.54285333085953
321580662,2227.791475337926,120.57999787866311
108958769,1946.4058892835517,111.63271349929902
106305042,2227.795238834844,120.58034710848159
847565596,2227.791475337926,120.57999787866311
302214028,2228.7079354516495,120.67122583932813
1017876764,1345.9183225497598,83.94473817530101
323266527,1894.0293162367602,217.94992085977125
86698277,2101.518303953651,121.81993004706283
346412363,2101.518303953651,121.81993004706283
136829091,2101.518303953651,121.81993004706283
93618577,2101.518303953651,121.81993004706283
331855530,2205.8557460286193,94.68315029520805
383867949,1827.2693821449484,260.5374460744378
479596010,1601.1327867053735,190.66310256891276
269946072,1638.9406716574927,285.3858552631527
873619049,1541.2751186633282,160.1074353613106
165108864,1334.8577474668218,161.8817964932026
401653350,1340.6868041788719,240.46647484041267
146076829,1669.434952787828,154.662459545884
336937491,1200.4451941357188,223.28034931376612
345803031,1227.529353767312,252.9843512253465
135607261,1305.027064437427,164.88389683766317
120901780,953.9179164153395,247.39158263594123
188037232,953.9179164153395,247.39158263594123
144048558,1104.1157547828097,139.28093290663796
1129118044,1534.1279962837568,216.6112862952661
78891550,1104.1157547828097,139.28093290663796
846396765,1414.6902413600242,129.45793059640746
219950601,1755.2734263950306,122.15345042538401
116837520,1652.748425292271,126.42198957433263
252551173,1505.6839926923797,127.41172898869307
199833749,1391.5592525116008,179.32421143702226
103735745,2532.4470882466703,155.5926749349374
152455523,1819.3131002750465,115.2757787401638
1040820193,1422.9966134699673,120.09859026381459
120613892,1499.3868958234664,145.15254645301383
114596500,1463.3605158293283,272.575995296633
104185879,1495.5804837756723,197.3757253101071
435139370,1763.0764819197148,122.56578957636148
202464276,1317.6213301301486,160.4613707943455
1214283479,1273.059073190427,154.0449330943873
295590968,1343.008893812219,129.56305543835376
100058342,2291.97309111294,133.14690792989614
878412184,1350.4814011399226,240.13677141510925
